customer_id,order_date,product_id,unit_price,quantity,total_discount
C1080,2022-11-25,P2017,1456.57,3,241.03
C1722,2023-10-03,P2048,4677.94,2,289.92
C1588,2023-11-18,P2035,3437.92,1,290.94
C1415,2022-09-22,P2048,4677.94,2,48.54
C1474,2023-04-27,P2032,2396.43,1,122.44
C1123,2023-02-12,P2048,4677.94,1,56.57
C1024,2023-04-19,P2022,419.05,3,13.45
C1717,2023-09-06,P2012,4293.9,3,44.27
C1884,2023-01-08,P2034,3183.86,4,82.74
C1864,2023-01-08,P2038,2538.6,3,226.5
C1099,2022-06-14,P2047,2782.26,2,64.38
C1489,2023-09-14,P2014,1047.17,3,155.41
C1435,2022-01-05,P2015,3403.38,4,247.76
C1465,2022-09-26,P2008,2753.53,1,212.7
C1973,2022-05-10,P2007,197.12,1,53.43
C1895,2022-11-16,P2003,2680.67,2,292.02
C1719,2022-12-16,P2015,3403.38,4,14.93
C1834,2022-09-08,P2023,2810.79,4,27.13
C1900,2022-01-04,P2018,470.33,1,185.7
C1589,2022-11-12,P2041,1732.07,4,245.79
C1987,2022-12-21,P2001,4933.21,3,95.16
C1127,2022-02-19,P2020,622.64,2,18.23
C1043,2023-09-16,P2032,2396.43,3,55.12
C1365,2022-01-17,P2019,4954.71,4,161.75
C1426,2023-10-23,P2047,2782.26,4,284.37
C1578,2023-12-21,P2009,4904.6,1,69.44
C1605,2023-09-26,P2015,3403.38,1,145.53
C1108,2023-12-08,P2020,622.64,1,172.16
C1233,2022-09-02,P2044,3523.22,3,65.92
C1512,2023-04-15,P2018,470.33,3,280.38
C1523,2023-09-03,P2028,3296.75,4,264.82
C1206,2022-11-16,P2010,802.66,3,234.09
C1313,2022-11-17,P2016,4693.47,4,264.27
C1525,2023-08-01,P2041,1732.07,1,10.18
C1578,2023-08-05,P2016,4693.47,1,201.69
C1805,2022-04-12,P2025,1418.3,1,247.98
C1409,2022-04-28,P2045,3318.94,2,247.54
C1220,2022-01-02,P2045,3318.94,4,222.32
C1176,2022-01-20,P2031,2861.23,2,270.92
C1584,2023-10-30,P2049,798.47,4,63.07
C1550,2023-10-22,P2015,3403.38,2,182.52
C1672,2023-12-11,P2045,3318.94,2,243.76
C1083,2022-01-22,P2028,3296.75,2,258.36
C1886,2022-01-17,P2026,3229.93,1,64.9
C1079,2023-08-23,P2047,2782.26,1,139.37
C1714,2023-04-14,P2000,1273.21,2,282.01
C1793,2022-03-08,P2043,691.38,3,44.22
C1183,2023-08-15,P2039,423.77,1,103.35
C1974,2023-12-09,P2013,4417.98,3,47.42
C1419,2022-03-05,P2032,2396.43,1,68.03
C1416,2022-01-26,P2002,4796.38,2,81.19
C1639,2022-03-24,P2010,802.66,3,108.21
C1182,2023-01-26,P2031,2861.23,4,26.24
C1934,2022-11-08,P2010,802.66,4,237.52
C1704,2023-06-29,P2045,3318.94,3,34.77
C1235,2022-03-25,P2039,423.77,2,206.34
C1435,2022-11-12,P2007,197.12,3,75.99
C1360,2023-01-30,P2009,4904.6,3,113.24
C1131,2022-06-17,P2020,622.64,3,190.65
C1442,2022-11-18,P2013,4417.98,3,127.04
C1451,2023-10-15,P2008,2753.53,4,100.68
C1500,2022-11-21,P2026,3229.93,1,16.6
C1384,2022-05-09,P2042,4569.64,4,21.7
C1056,2022-07-11,P2024,4532.99,3,31.78
C1847,2023-03-03,P2035,3437.92,3,117.88
C1413,2022-04-15,P2018,470.33,3,254.51
C1993,2022-10-11,P2023,2810.79,1,13.06
C1048,2022-05-12,P2005,4383.8,1,208.75
C1224,2023-01-04,P2000,1273.21,2,158.58
C1206,2023-07-30,P2048,4677.94,1,217.27
C1977,2022-05-25,P2027,506.83,1,63.32
C1146,2022-03-18,P2049,798.47,2,275.97
C1157,2022-05-07,P2016,4693.47,3,169.91
C1919,2023-08-05,P2031,2861.23,1,21.51
C1526,2023-10-06,P2041,1732.07,2,74.77
C1662,2022-03-31,P2046,4644.31,1,220.4
C1002,2022-01-28,P2028,3296.75,1,138.42
C1804,2022-08-16,P2032,2396.43,2,299.88
C1817,2022-05-28,P2013,4417.98,3,278.09
C1431,2023-05-23,P2022,419.05,1,233.21
C1747,2022-11-29,P2035,3437.92,4,59.0
C1928,2023-08-28,P2048,4677.94,3,190.56
C1764,2022-01-13,P2018,470.33,2,232.31
C1655,2023-11-01,P2017,1456.57,1,145.11
C1819,2022-09-01,P2013,4417.98,3,202.05
C1829,2023-04-13,P2031,2861.23,2,81.08
C1645,2022-02-27,P2017,1456.57,2,267.52
C1315,2023-11-14,P2003,2680.67,2,87.6
C1274,2022-05-01,P2034,3183.86,1,51.12
C1039,2022-08-02,P2018,470.33,1,31.16
C1543,2023-02-19,P2028,3296.75,3,20.62
C1304,2022-06-22,P2003,2680.67,4,55.72
C1284,2023-03-31,P2023,2810.79,1,126.41
C1881,2023-06-10,P2019,4954.71,2,146.76
C1314,2023-12-22,P2022,419.05,4,111.86
C1998,2023-01-22,P2023,2810.79,1,186.78
C1271,2022-02-13,P2030,4828.98,4,116.91
C1498,2023-08-30,P2013,4417.98,4,142.87
C1631,2022-10-25,P2003,2680.67,2,134.02
C1038,2023-10-31,P2005,4383.8,2,22.45
C1499,2023-05-11,P2039,423.77,2,262.38
C1787,2022-11-07,P2006,3318.76,2,47.71
C1625,2023-04-11,P2046,4644.31,1,131.08
C1496,2023-08-02,P2041,1732.07,4,7.92
C1266,2022-05-18,P2014,1047.17,1,224.01
C1202,2022-07-18,P2049,798.47,3,196.31
C1621,2022-10-26,P2026,3229.93,2,60.95
C1789,2022-04-11,P2031,2861.23,4,150.95
C1321,2023-01-18,P2031,2861.23,4,54.99
C1313,2022-04-24,P2017,1456.57,1,228.46
C1392,2023-07-25,P2017,1456.57,2,299.84
C1403,2022-01-17,P2001,4933.21,2,149.26
C1494,2022-10-26,P2007,197.12,4,16.78
C1091,2022-02-21,P2010,802.66,3,59.85
C1979,2022-01-11,P2000,1273.21,1,190.73
C1985,2023-05-10,P2030,4828.98,2,144.46
C1941,2023-03-07,P2018,470.33,2,5.17
C1272,2023-10-20,P2037,281.16,4,153.6
C1292,2023-08-27,P2013,4417.98,1,274.27
C1110,2022-01-26,P2039,423.77,3,263.27
C1761,2023-07-23,P2023,2810.79,2,216.42
C1527,2022-09-22,P2049,798.47,4,192.53
C1462,2022-07-23,P2012,4293.9,3,212.93
C1411,2023-12-12,P2002,4796.38,3,43.85
C1732,2022-08-14,P2037,281.16,2,187.26
C1178,2023-05-15,P2001,4933.21,3,119.95
C1172,2022-03-23,P2044,3523.22,3,284.15
C1008,2023-06-20,P2017,1456.57,4,242.14
C1581,2022-09-29,P2015,3403.38,4,10.36
C1307,2022-11-03,P2039,423.77,2,293.26
C1203,2022-07-14,P2032,2396.43,2,4.76
C1918,2023-06-06,P2049,798.47,4,149.58
C1468,2022-10-03,P2038,2538.6,3,92.82
C1813,2022-05-31,P2034,3183.86,1,47.96
C1504,2023-06-16,P2004,4751.21,1,271.69
C1062,2023-11-26,P2043,691.38,3,266.4
C1371,2023-02-23,P2028,3296.75,3,260.57
C1910,2022-02-17,P2006,3318.76,2,195.26
C1445,2022-04-02,P2018,470.33,4,295.53
C1035,2023-02-04,P2019,4954.71,3,152.94
C1889,2023-11-09,P2005,4383.8,1,93.08
C1576,2023-10-20,P2021,4502.82,1,224.75
C1195,2022-06-17,P2021,4502.82,3,79.57
C1814,2022-09-16,P2012,4293.9,1,143.42
C1444,2023-08-26,P2032,2396.43,1,95.44
C1362,2022-02-04,P2023,2810.79,3,67.78
C1128,2022-05-20,P2029,1241.0,4,97.36
C1113,2023-11-14,P2028,3296.75,4,171.51
C1114,2022-01-04,P2031,2861.23,3,15.91
C1262,2023-12-27,P2002,4796.38,3,134.87
C1130,2022-06-25,P2038,2538.6,3,213.94
C1032,2023-06-20,P2034,3183.86,2,107.96
C1667,2023-11-18,P2042,4569.64,3,142.65
C1390,2022-09-14,P2008,2753.53,1,20.88
C1681,2022-07-19,P2006,3318.76,3,60.96
C1032,2023-03-10,P2036,3463.5,2,160.41
C1290,2022-10-09,P2046,4644.31,1,80.94
C1596,2022-02-21,P2012,4293.9,3,205.04
C1489,2022-04-14,P2013,4417.98,2,101.98
C1163,2023-01-23,P2031,2861.23,3,251.95
C1090,2022-01-04,P2017,1456.57,4,37.43
C1562,2023-08-22,P2026,3229.93,4,253.45
C1057,2023-12-27,P2035,3437.92,1,111.9
C1493,2022-11-29,P2009,4904.6,3,169.52
C1799,2022-03-12,P2033,2891.83,2,120.51
C1623,2023-07-24,P2031,2861.23,3,121.66
C1105,2023-03-01,P2048,4677.94,2,149.8
C1818,2023-12-30,P2034,3183.86,4,252.07
C1725,2022-02-25,P2037,281.16,3,111.17
C1310,2023-03-27,P2011,2563.14,3,159.68
C1593,2022-10-27,P2008,2753.53,1,142.89
C1811,2022-01-12,P2043,691.38,2,213.11
C1613,2022-01-29,P2009,4904.6,1,269.62
C1957,2022-09-29,P2001,4933.21,3,93.26
C1291,2023-05-17,P2015,3403.38,1,5.24
C1849,2023-12-02,P2025,1418.3,1,137.62
C1628,2023-07-09,P2029,1241.0,4,72.5
C1452,2023-12-25,P2005,4383.8,1,199.84
C1670,2022-10-21,P2044,3523.22,2,140.69
C1323,2022-10-09,P2046,4644.31,1,76.14
C1455,2023-09-12,P2048,4677.94,3,79.68
C1258,2023-08-13,P2024,4532.99,2,68.74
C1710,2022-02-24,P2029,1241.0,4,210.7
C1836,2022-03-02,P2022,419.05,3,260.22
C1381,2022-12-01,P2028,3296.75,4,239.27
C1610,2022-01-27,P2046,4644.31,1,132.77
C1174,2023-06-02,P2027,506.83,3,297.35
C1099,2022-08-24,P2042,4569.64,1,66.81
C1958,2023-03-01,P2003,2680.67,2,91.66
C1744,2022-11-23,P2015,3403.38,3,42.6
C1001,2023-02-20,P2010,802.66,1,199.61
C1191,2023-05-12,P2000,1273.21,2,67.97
C1089,2022-02-02,P2038,2538.6,3,203.31
C1274,2023-07-20,P2000,1273.21,4,20.37
C1632,2023-12-25,P2006,3318.76,4,192.87
C1149,2022-08-03,P2021,4502.82,3,170.11
C1331,2022-02-14,P2008,2753.53,4,59.02
C1653,2022-02-12,P2041,1732.07,3,104.62
C1868,2023-11-30,P2012,4293.9,1,62.21
C1724,2023-04-03,P2017,1456.57,4,40.78
C1359,2022-01-19,P2037,281.16,3,226.2
C1551,2022-09-19,P2000,1273.21,1,45.28
C1517,2023-09-15,P2013,4417.98,1,34.63
C1229,2023-07-11,P2043,691.38,4,7.13
C1846,2023-09-23,P2024,4532.99,4,207.88
C1928,2022-06-22,P2031,2861.23,4,241.65
C1525,2023-08-10,P2033,2891.83,1,43.17
C1215,2023-11-16,P2047,2782.26,4,83.61
C1958,2023-07-16,P2034,3183.86,3,240.0
C1048,2022-05-06,P2035,3437.92,2,127.38
C1847,2022-12-10,P2034,3183.86,2,284.25
C1170,2022-03-01,P2005,4383.8,2,30.93
C1792,2023-07-14,P2003,2680.67,3,225.42
C1596,2023-08-03,P2020,622.64,4,51.53
C1873,2022-03-07,P2002,4796.38,3,80.94
C1022,2023-12-25,P2006,3318.76,4,92.93
C1887,2022-09-16,P2024,4532.99,1,152.95
C1954,2022-11-28,P2044,3523.22,3,219.66
C1396,2022-12-19,P2023,2810.79,4,42.05
C1262,2023-11-03,P2013,4417.98,4,73.17
C1037,2023-11-01,P2020,622.64,1,142.54
C1513,2023-05-16,P2013,4417.98,2,160.06
C1361,2022-07-22,P2034,3183.86,2,257.18
C1082,2022-11-23,P2047,2782.26,2,90.79
C1459,2023-08-12,P2020,622.64,2,84.7
C1124,2023-07-11,P2040,2929.17,3,286.32
C1423,2022-06-23,P2008,2753.53,3,201.07
C1374,2022-12-29,P2012,4293.9,4,133.48
C1581,2023-07-24,P2005,4383.8,3,65.19
C1166,2023-09-12,P2035,3437.92,1,234.83
C1691,2023-04-22,P2017,1456.57,3,8.09
C1110,2023-12-25,P2047,2782.26,1,212.33
C1533,2022-03-17,P2016,4693.47,2,6.79
C1452,2023-05-08,P2014,1047.17,1,176.75
C1146,2023-01-20,P2012,4293.9,3,205.06
C1676,2022-11-22,P2000,1273.21,4,37.56
C1243,2022-12-04,P2032,2396.43,4,190.83
C1774,2022-08-15,P2025,1418.3,4,243.29
C1517,2023-03-24,P2048,4677.94,3,145.22
C1125,2022-02-22,P2009,4904.6,1,275.8
C1667,2022-03-22,P2027,506.83,3,28.6
C1013,2023-02-18,P2012,4293.9,4,181.61
C1120,2022-09-04,P2030,4828.98,2,290.64
C1354,2022-05-04,P2004,4751.21,3,158.0
C1284,2022-06-13,P2018,470.33,1,234.48
C1390,2022-07-25,P2034,3183.86,4,113.87
C1801,2022-08-10,P2041,1732.07,4,23.24
C1106,2023-10-28,P2044,3523.22,3,263.74
C1828,2022-04-22,P2002,4796.38,2,72.54
C1271,2022-10-14,P2009,4904.6,1,187.94
C1889,2022-04-22,P2044,3523.22,4,106.95
C1592,2022-06-18,P2000,1273.21,2,241.94
C1970,2022-05-29,P2017,1456.57,2,106.09
C1820,2022-08-01,P2011,2563.14,2,176.79
C1110,2022-08-05,P2049,798.47,2,123.45
C1671,2023-04-15,P2019,4954.71,2,286.03
C1232,2022-09-06,P2039,423.77,3,246.87
C1308,2022-12-20,P2036,3463.5,1,11.24
C1204,2023-11-18,P2048,4677.94,2,121.68
C1235,2023-11-25,P2045,3318.94,2,160.55
C1155,2023-06-22,P2022,419.05,2,245.92
C1563,2022-06-23,P2018,470.33,4,264.0
C1480,2022-12-24,P2014,1047.17,4,60.54
C1029,2023-09-08,P2048,4677.94,4,244.66
C1836,2023-06-06,P2022,419.05,2,30.72
C1441,2022-03-02,P2042,4569.64,3,49.23
C1093,2023-08-11,P2011,2563.14,3,271.41
C1192,2022-12-12,P2000,1273.21,1,245.89
C1437,2023-08-19,P2006,3318.76,4,255.84
C1380,2023-02-14,P2009,4904.6,3,107.07
C1643,2022-10-07,P2021,4502.82,4,187.44
C1895,2022-10-03,P2038,2538.6,1,220.5
C1487,2022-12-01,P2044,3523.22,2,12.7
C1004,2022-04-28,P2019,4954.71,2,125.87
C1695,2023-11-28,P2027,506.83,1,43.05
C1704,2023-12-19,P2046,4644.31,3,268.62
C1053,2022-02-20,P2009,4904.6,1,107.47
C1462,2023-12-24,P2006,3318.76,3,277.76
C1498,2022-04-03,P2017,1456.57,4,149.48
C1595,2022-06-11,P2038,2538.6,1,40.17
C1524,2022-09-10,P2005,4383.8,2,104.79
C1778,2022-06-12,P2048,4677.94,4,89.5
C1528,2023-04-22,P2022,419.05,4,118.67
C1560,2022-07-22,P2044,3523.22,2,115.59
C1470,2022-03-05,P2022,419.05,1,106.28
C1748,2022-03-31,P2005,4383.8,3,272.63
C1785,2023-01-23,P2023,2810.79,1,80.24
C1783,2023-01-16,P2042,4569.64,2,250.88
C1864,2023-06-21,P2040,2929.17,4,232.98
C1085,2023-09-12,P2022,419.05,3,144.39
C1430,2023-03-26,P2028,3296.75,3,153.9
C1041,2022-09-03,P2008,2753.53,4,291.64
C1108,2023-03-09,P2017,1456.57,2,106.37
C1522,2023-12-19,P2017,1456.57,4,298.77
C1261,2023-03-05,P2040,2929.17,4,185.59
C1835,2023-12-18,P2028,3296.75,2,279.53
C1163,2023-08-30,P2019,4954.71,4,21.75
C1437,2023-01-30,P2007,197.12,2,262.38
C1584,2023-02-20,P2044,3523.22,2,155.1
C1132,2023-07-25,P2043,691.38,3,283.04
C1091,2023-12-14,P2047,2782.26,1,31.28
C1725,2023-08-15,P2012,4293.9,1,187.12
C1301,2022-04-02,P2045,3318.94,3,69.89
C1283,2023-03-31,P2010,802.66,2,168.62
C1239,2023-06-05,P2010,802.66,4,186.92
C1012,2023-08-02,P2041,1732.07,3,94.84
C1661,2023-06-05,P2004,4751.21,3,272.16
C1238,2022-09-29,P2040,2929.17,2,166.63
C1408,2023-06-29,P2043,691.38,2,16.09
C1442,2023-07-20,P2000,1273.21,4,62.48
C1404,2022-07-22,P2012,4293.9,3,180.41
C1501,2023-08-29,P2030,4828.98,3,134.34
C1201,2022-08-18,P2035,3437.92,1,125.85
C1838,2022-03-22,P2020,622.64,1,72.0
C1389,2022-03-25,P2014,1047.17,4,168.07
C1226,2023-04-23,P2007,197.12,1,122.77
C1527,2023-12-22,P2039,423.77,1,164.24
C1420,2022-01-27,P2007,197.12,1,228.82
C1192,2022-05-15,P2004,4751.21,1,295.31
C1139,2023-06-27,P2014,1047.17,2,49.82
C1114,2022-12-06,P2006,3318.76,4,0.64
C1125,2022-09-19,P2024,4532.99,4,147.44
C1936,2022-04-12,P2018,470.33,2,296.88
C1921,2022-05-13,P2043,691.38,2,54.34
C1450,2022-01-14,P2015,3403.38,1,11.52
C1821,2023-11-11,P2042,4569.64,3,100.53
C1416,2023-10-30,P2021,4502.82,4,194.05
C1974,2023-05-10,P2027,506.83,1,139.5
C1540,2022-10-24,P2020,622.64,3,225.99
C1154,2023-10-25,P2007,197.12,4,138.54
C1324,2022-04-25,P2040,2929.17,3,7.15
C1989,2023-05-08,P2039,423.77,4,237.98
C1963,2022-01-23,P2031,2861.23,2,163.9
C1933,2022-07-30,P2018,470.33,2,89.24
C1442,2023-07-10,P2010,802.66,3,251.69
C1815,2023-11-25,P2047,2782.26,4,171.1
C1450,2022-03-10,P2046,4644.31,2,260.41
C1833,2023-08-03,P2030,4828.98,2,261.22
C1690,2022-09-23,P2041,1732.07,4,10.26
C1929,2023-11-22,P2027,506.83,3,139.52
C1653,2022-08-20,P2034,3183.86,4,289.9
C1198,2022-02-11,P2030,4828.98,4,274.48
C1739,2022-12-10,P2033,2891.83,2,54.5
C1942,2022-10-09,P2035,3437.92,2,67.3
C1211,2022-10-16,P2043,691.38,3,131.02
C1784,2023-12-01,P2036,3463.5,3,138.81
C1513,2022-01-01,P2044,3523.22,2,54.38
C1236,2022-11-18,P2034,3183.86,3,187.68
C1811,2022-10-27,P2042,4569.64,2,152.06
C1559,2022-12-14,P2044,3523.22,2,27.24
C1275,2022-08-10,P2022,419.05,1,256.27
C1181,2023-04-08,P2020,622.64,3,101.35
C1784,2023-07-15,P2019,4954.71,4,56.06
C1557,2022-04-12,P2020,622.64,2,113.16
C1674,2023-04-23,P2031,2861.23,1,74.97
C1195,2023-06-15,P2025,1418.3,3,8.25
C1752,2023-05-17,P2029,1241.0,1,19.05
C1262,2022-09-05,P2002,4796.38,1,173.59
C1873,2023-06-02,P2033,2891.83,4,293.85
C1922,2023-05-22,P2009,4904.6,2,198.78
C1222,2022-06-19,P2047,2782.26,3,138.48
C1435,2023-01-17,P2003,2680.67,4,116.52
C1309,2023-09-01,P2002,4796.38,3,141.26
